Uniprot_A	Uniprot_B	Gene_A	Gene_B	ORF_A	ORF_B	Alias_A	Alias_B	pmid:method:quality
A0A1P8BGB9	Q9C5Z1	CYC1BAT	TIF3B1		F15A18_100			20706207:0004:HT
A0A1P8BGB9	Q9FVQ1	CYC1BAT	NUCL1		F27K7.6		LOCUS:2028451	20706207:0004:HT
A0A1P8BGB9	Q9M0I4	CYC1BAT	Q9M0I4		F26K10.110|F26K10_110		LOCUS:2123723	20706207:0004:HT
A0A1P8BGB9	Q9MAT0	CYC1BAT	RPN2B		F13M7.20		LOCUS:2010672	20706207:0004:HT
A0A1P8BGB9	Q9SJJ5	CYC1BAT	CKS2		T1E2.11		LOCUS:2057825	20706207:0004:HT
A0A1P8BGU1	Q9SJR5	B73	GRF3	T10F18.20|T10F18_20	F1O11.3		LOCUS:2044873	21094157:0004:HT
A0A1P8BGZ1	O22224	EMB3142	NUP93A		T32G6.14		LOCUS:2062693	21189294:0004:HT
A0A1P8BGZ1	Q24JJ9	EMB3142	NUP43		F6I18.250		LOCUS:2126689	21189294:0004:HT
A0A1P8BGZ1	Q38942	EMB3142	RAE1		F23A5.2		LOCUS:2025732	21189294:0004:HT
A0A1P8BGZ1	Q9FWS3	EMB3142	CG1		F1B16.12		LOCUS:2018452	21189294:0004:HT
A0A1P8BHE2	Q9SJR5	ATLIG4	GRF3		F1O11.3		LOCUS:2044873	21094157:0004:HT
A0A2H1ZEM3	Q9SJR5	A0A2H1ZEM3	GRF3		F1O11.3		LOCUS:2044873	21094157:0004:HT
A0A384KGK5	Q8GYJ3	A0A384KGK5	KRP4	AN1_LOCUS7121|C24_LOCUS7006	F24L7.15		LOCUS:2046427	20706207:0004:HT
A0A654FUY2	Q9LPP4	A0A654FUY2	SMR1	AN1_LOCUS20099|C24_LOCUS19994	F13M14.31|F18K10.10		LOCUS:505006334	20706207:0004:HT
A0MEB5	O23249	CYCA3-3	CKS1	F8G22.6	T1E2.12	LOCUS:2036761	LOCUS:2057836	20706207:0004:HT|20706207:0676:HT
A0MEB5	O80585	CYCA3-3	MTHFR2	F8G22.6	F6E13.29	LOCUS:2036761	LOCUS:2051789	20706207:0004:HT|20706207:0676:HT
A0MEB5	O81001	CYCA3-3	GRF1	F8G22.6	T20K9.5	LOCUS:2036761	LOCUS:2059206	20706207:0004:HT|20706207:0676:HT
A0MEB5	P20115	CYCA3-3	CSY4	F8G22.6	F4I1.16	LOCUS:2036761	LOCUS:2050554	20706207:0004:HT|20706207:0676:HT
A0MEB5	P24100	CYCA3-3	CDKA-1	F8G22.6	T21J18.20	LOCUS:2036761	LOCUS:2099478	20706207:0004:HT|20706207:0676:HT
A0MEB5	P34790	CYCA3-3	CYP18-3	F8G22.6	T9A14.20	LOCUS:2036761	LOCUS:2141747	20706207:0004:HT|20706207:0676:HT
A0MEB5	P39207	CYCA3-3	NDK1	F8G22.6	T30A10.80	LOCUS:2036761		20706207:0004:HT|20706207:0676:HT
A0MEB5	P46689	CYCA3-3	GASA1	F8G22.6	F10A5.6|F10A5_16	LOCUS:2036761	LOCUS:2005634	20706207:0004:HT|20706207:0676:HT
A0MEB5	P48347	CYCA3-3	GRF10	F8G22.6	T16E15.8	LOCUS:2036761	LOCUS:2196506	20706207:0004:HT|20706207:0676:HT
A0MEB5	Q29Q34	CYCA3-3	Q29Q34	F8G22.6	F7K24.190|F7K24_190	LOCUS:2036761	LOCUS:2150315	20706207:0004:HT|20706207:0676:HT
A0MEB5	Q42342	CYCA3-3	CYTB5-E	F8G22.6	MNC6.10	LOCUS:2036761	LOCUS:2168666	20706207:0004:HT|20706207:0676:HT
A0MEB5	Q42406	CYCA3-3	CYP18-4	F8G22.6	T11I11.110	LOCUS:2036761	LOCUS:2116880	20706207:0004:HT|20706207:0676:HT
A0MEB5	Q42560	CYCA3-3	ACO1	F8G22.6	F4B14.100	LOCUS:2036761	LOCUS:2125354	20706207:0004:HT|20706207:0676:HT
A0MEB5	Q56XG6	CYCA3-3	RH15	F8G22.6	F2I11.60	LOCUS:2036761	LOCUS:2147987	20706207:0676:HT
A0MEB5	Q8L7G0	CYCA3-3	ARF1	F8G22.6	F23H11.7	LOCUS:2036761	LOCUS:2025991	20706207:0004:HT|20706207:0676:HT
A0MEB5	Q8RX66	CYCA3-3	NEK3	F8G22.6	T8M17.60	LOCUS:2036761	LOCUS:2185314	20706207:0004:HT|20706207:0676:HT
