Uniprot_A	Uniprot_B	Gene_A	Gene_B	ORF_A	ORF_B	Alias_A	Alias_B	pmid:method:quality
O81001	Q8LGI2	GRF1	Q8LGI2	T20K9.5	MUL8.9	LOCUS:2059206	LOCUS:2175723	21094157:0004:HT
O81001	Q8LGN1	GRF1	GLR1.4	T20K9.5	F21O3.23	LOCUS:2059206	LOCUS:2079681	21094157:0004:HT
O81001	Q8LPK2	GRF1	ABCB2	T20K9.5	F20B18.70	LOCUS:2059206	LOCUS:2120805	21094157:0004:HT
O81001	Q8RXH8	GRF1	NAKR3	T20K9.5	F4P12.230	LOCUS:2059206	LOCUS:2083966	21094157:0004:HT
O81001	Q8RYC2	GRF1	ACT5	T20K9.5	T24P15.22|T6D20.1	LOCUS:2059206	LOCUS:2059959	21094157:0004:HT
O81001	Q8VY05	GRF1	SWI3D	T20K9.5	F10M10.200|T4L20.10	LOCUS:2059206	LOCUS:2116159	21094157:0004:HT
O81001	Q8VY21	GRF1	TULP3	T20K9.5	F17A22.29	LOCUS:2059206		21094157:0004:HT
O81001	Q8VZZ4	GRF1	ABCC6	T20K9.5	MJG19.4	LOCUS:2059206	LOCUS:2090039	21094157:0004:HT
O81001	Q8W245	GRF1	ZIP10	T20K9.5	T19E23.6	LOCUS:2059206	LOCUS:2197520	21094157:0004:HT
O81001	Q8W2B8	GRF1	SAT4	T20K9.5	F8D20.150	LOCUS:2059206	LOCUS:2127978	21094157:0018:HT|21094157:0004:HT
O81001	Q93YV6	GRF1	B'KAPPA	T20K9.5	T14C9.50	LOCUS:2059206	LOCUS:2179499	21094157:0004:HT
O81001	Q944B6	GRF1	TYRAAT1	T20K9.5	T2L5.1	LOCUS:2059206	LOCUS:2183532	21094157:0004:HT
O81001	Q94AL9	GRF1	AGT3	T20K9.5	T19C21.11	LOCUS:2059206		21094157:0018:HT|21094157:0004:HT
O81001	Q9ASS6	GRF1	PNSL5	T20K9.5	T19L5_80	LOCUS:2059206	LOCUS:2179822	21094157:0004:HT
O81001	Q9C5W6	GRF1	GRF12	T20K9.5	T1K7.15	LOCUS:2059206	LOCUS:2197940	21094157:0004:HT
O81001	Q9C5X9	GRF1	HAC1	T20K9.5	YUP8H12R.38|YUP8H12R_22	LOCUS:2059206		21094157:0004:HT
O81001	Q9C7F8	GRF1	ABCB13	T20K9.5	F13K9.5	LOCUS:2059206	LOCUS:2010464	21094157:0004:HT
O81001	Q9FE67	GRF1	ERF9	T20K9.5	MLN1.14	LOCUS:2059206	LOCUS:2167659	21094157:0004:HT
O81001	Q9FE83	GRF1	SKIP2	T20K9.5	K21H1.21	LOCUS:2059206	LOCUS:2155578	21094157:0004:HT
O81001	Q9FEP7	GRF1	SULTR13	T20K9.5	F2E2.22	LOCUS:2059206	LOCUS:2030606	21094157:0004:HT
O81001	Q9FGJ3	GRF1	NFYB2	T20K9.5	MNJ7.23	LOCUS:2059206	LOCUS:2168983	21094157:0004:HT
O81001	Q9FJ62	GRF1	GDPDL4	T20K9.5	MTE17.19	LOCUS:2059206	LOCUS:2173977	21094157:0004:HT
O81001	Q9FJT8	GRF1	HAG2	T20K9.5	MIK19.19	LOCUS:2059206	LOCUS:2165091	21094157:0004:HT
O81001	Q9FLT4	GRF1	ABCA10	T20K9.5	MAC9.5	LOCUS:2059206		21094157:0004:HT
O81001	Q9FMD9	GRF1	GLN1-4	T20K9.5	MTG13.1	LOCUS:2059206	LOCUS:2174175	21094157:0018:HT|21094157:0004:HT
O81001	Q9FMR0	GRF1	PER60	T20K9.5	MWD9.21	LOCUS:2059206	LOCUS:2176402	21094157:0004:HT
O81001	Q9FMU5	GRF1	Q9FMU5	T20K9.5	MUA22.5	LOCUS:2059206	LOCUS:2174698	21094157:0004:HT
O81001	Q9FNI6	GRF1	RAD5A	T20K9.5	MDJ22.17	LOCUS:2059206	LOCUS:2162504	21094157:0004:HT
O81001	Q9FVV6	GRF1	P2	T20K9.5	F3I17.5	LOCUS:2059206	LOCUS:2032318	21094157:0004:HT
O81001	Q9FX54	GRF1	GAPC2	T20K9.5	T6J4.17	LOCUS:2059206	LOCUS:2010007	21094157:0004:HT
O81001	Q9LDD8	GRF1	MCCB	T20K9.5	F17I5.220|F28A23.210	LOCUS:2059206	LOCUS:2124256	21094157:0004:HT
O81001	Q9LDJ3	GRF1	EXPA12	T20K9.5	MJK13.3	LOCUS:2059206	LOCUS:2090161	21094157:0004:HT
O81001	Q9LEQ3	GRF1	CNGC18	T20K9.5	T9L3_170	LOCUS:2059206	LOCUS:2185510	21094157:0004:HT
O81001	Q9LEW8	GRF1	Q9LEW8	T20K9.5	T27I15_170	LOCUS:2059206	LOCUS:2101022	21094157:0004:HT
O81001	Q9LF98	GRF1	FBA8	T20K9.5	F8J2_100	LOCUS:2059206	LOCUS:2085141	21094157:0004:HT
O81001	Q9LHA8	GRF1	HSP70-4	T20K9.5	T16H11.7|T2E22.11	LOCUS:2059206	LOCUS:2101222	21094157:0004:HT
O81001	Q9LIK7	GRF1	ACA13	T20K9.5	F5N5.8	LOCUS:2059206	LOCUS:2084578	21094157:0004:HT
O81001	Q9LK50	GRF1	ABCG26	T20K9.5	MJG19.19	LOCUS:2059206	LOCUS:2090009	21094157:0004:HT
O81001	Q9LM84	GRF1	WOX14	T20K9.5	F2D10.19	LOCUS:2059206	LOCUS:2030467	21094157:0004:HT
O81001	Q9LNE3	GRF1	Q9LNE3	T20K9.5	T21E18.8	LOCUS:2059206	LOCUS:2198831	21094157:0004:HT
O81001	Q9LNE4	GRF1	Q9LNE4	T20K9.5	T21E18.7	LOCUS:2059206	LOCUS:2198821	21094157:0004:HT
O81001	Q9LPM8	GRF1	BCAT7	T20K9.5	F2J10.5	LOCUS:2059206	LOCUS:2031040	21094157:0004:HT
O81001	Q9LPS1	GRF1	Q9LPS1	T20K9.5	F11F12.18	LOCUS:2059206	LOCUS:2008031	21094157:0004:HT
O81001	Q9LQ10	GRF1	ACS10	T20K9.5	F16P17.11	LOCUS:2059206	LOCUS:2015509	21094157:0004:HT
O81001	Q9LTS3	GRF1	CKX3	T20K9.5	MHM17.8	LOCUS:2059206	LOCUS:2164615	21094157:0004:HT
O81001	Q9LUT2	GRF1	METK4	T20K9.5	MGD8.23	LOCUS:2059206	LOCUS:2089070	21094157:0004:HT
O81001	Q9LV01	GRF1	EOL2	T20K9.5	MQJ2|MZN1.1	LOCUS:2059206		21094157:0004:HT
O81001	Q9LV37	GRF1	MPK9	T20K9.5	MRC8.2|MRC8.4	LOCUS:2059206	LOCUS:2092717	21094157:0004:HT
O81001	Q9LY91	GRF1	AGP6	T20K9.5	F18O22_170	LOCUS:2059206	LOCUS:2145713	21094157:0004:HT
O81001	Q9LYN8	GRF1	EMS1	T20K9.5	T28J14.220	LOCUS:2059206	LOCUS:2182870	21094157:0004:HT
O81001	Q9M0Y8	GRF1	NSF	T20K9.5	T1J1.4	LOCUS:2059206	LOCUS:2135378	21094157:0004:HT
O81001	Q9M2Q4	GRF1	Q9M2Q4	T20K9.5	T10K17.150	LOCUS:2059206	LOCUS:2095828	21094157:0004:HT
O81001	Q9M7T0	GRF1	PRXIIF	T20K9.5	F24F17.3	LOCUS:2059206	LOCUS:2080374	21094157:0004:HT
O81001	Q9M8Y0	GRF1	SEC	T20K9.5	T6K12.14	LOCUS:2059206	LOCUS:2103025	21094157:0004:HT
O81001	Q9M9U0	GRF1	XXT4	T20K9.5	F6A14.20	LOCUS:2059206	LOCUS:2035030	21094157:0004:HT
O81001	Q9S713	GRF1	STN7	T20K9.5	F14K14.6|T6L1.2	LOCUS:2059206	LOCUS:2205465	21094157:0004:HT
O81001	Q9S7L2	GRF1	MYB98	T20K9.5	F28A21.180	LOCUS:2059206	LOCUS:2124162	21094157:0004:HT
O81001	Q9S814	GRF1	EIN2	T20K9.5	F12E4.10|MOK16.19	LOCUS:2059206	LOCUS:2142594	21094157:0004:HT
O81001	Q9SGP6	GRF1	GRXC9	T20K9.5	F3M18.8	LOCUS:2059206	LOCUS:2032574	21094157:0004:HT
O81001	Q9SI37	GRF1	WRKY1	T20K9.5	F1O13.1|F28I8.34	LOCUS:2059206	LOCUS:2045049	21094157:0004:HT
O81001	Q9SID0	GRF1	Q9SID0	T20K9.5	T28P16.12	LOCUS:2059206	LOCUS:2061320	21094157:0004:HT
O81001	Q9SJL8	GRF1	METK3	T20K9.5	T1J8.6	LOCUS:2059206	LOCUS:2058011	21094157:0018:HT|21094157:0004:HT
O81001	Q9SJQ9	GRF1	FBA6	T20K9.5		LOCUS:2059206	LOCUS:2044856	21094157:0004:HT
O81001	Q9SK55	GRF1	JUB1	T20K9.5	F23E6.1	LOCUS:2059206	LOCUS:2045570	21094157:0004:HT
O81001	Q9SKQ0	GRF1	CYP19-2	T20K9.5	F26H11.11	LOCUS:2059206	LOCUS:2047097	21094157:0004:HT
O81001	Q9SLC3	GRF1	ATL41	T20K9.5	MHK10.8	LOCUS:2059206	LOCUS:2053791	21094157:0004:HT
O81001	Q9SLG2	GRF1	GGPP4	T20K9.5	F24H14.2	LOCUS:2059206	LOCUS:2046258	21094157:0004:HT
O81001	Q9SLG9	GRF1	PIP5K5	T20K9.5	T3K9.2	LOCUS:2059206	LOCUS:2040327	21094157:0004:HT
O81001	Q9SMX3	GRF1	VDAC3	T20K9.5	F2G14.210	LOCUS:2059206	LOCUS:2147820	21094157:0004:HT
O81001	Q9SNY3	GRF1	GMD1	T20K9.5	K1L20.6	LOCUS:2059206	LOCUS:2155036	21094157:0004:HT
O81001	Q9SPE5	GRF1	GSNAP	T20K9.5	F9F13.60	LOCUS:2059206	LOCUS:2128669	21094157:0004:HT
O81001	Q9SRQ8	GRF1	ATL51	T20K9.5	T12J13.17|T21P5.3	LOCUS:2059206	LOCUS:2096444	21094157:0004:HT
O81001	Q9SSD1	GRF1	TMM	T20K9.5	F18B13.16	LOCUS:2059206	LOCUS:2016319	21094157:0004:HT
O81001	Q9STE5	GRF1	RPP13L2	T20K9.5	T6H20.260	LOCUS:2059206	LOCUS:2102857	21094157:0004:HT
O81001	Q9SU44	GRF1	GRF8	T20K9.5	T19F6.5	LOCUS:2059206	LOCUS:2134986	21094157:0004:HT
O81001	Q9SV41	GRF1	B'EPSILON	T20K9.5	F28P10.90	LOCUS:2059206	LOCUS:2082677	21094157:0004:HT
O81001	Q9SWG0	GRF1	IVD	T20K9.5	F18N11.6	LOCUS:2059206	LOCUS:2078302	21094157:0004:HT
O81001	Q9SYD4	GRF1	FBX11	T20K9.5	F11M15.18	LOCUS:2059206	LOCUS:2008306	21094157:0004:HT
O81001	Q9SZC9	GRF1	PAA1	T20K9.5	F17M5.280|T16L1.10	LOCUS:2059206	LOCUS:2119265	21094157:0004:HT
O81001	Q9T051	GRF1	PLDGAMMA2	T20K9.5	T26M18.40	LOCUS:2059206	LOCUS:2137025	21094157:0004:HT
O81001	Q9T074	GRF1	PCK1	T20K9.5	T28I19.150	LOCUS:2059206	LOCUS:2137594	21094157:0004:HT
O81001	Q9XIF0	GRF1	Q9XIF0	T20K9.5	F23H11.10	LOCUS:2059206	LOCUS:2025916	21094157:0004:HT
O81001	Q9ZSZ8	GRF1	FIP37	T20K9.5	F24B22.130	LOCUS:2059206	LOCUS:2080275	21094157:0004:HT
O81001	Q9ZT48	GRF1	ATE1	T20K9.5	MJJ3.10	LOCUS:2059206	LOCUS:2166454	21094157:0004:HT
O81001	Q9ZTX8	GRF1	ARF6	T20K9.5	T4K22.6	LOCUS:2059206	LOCUS:2204237	21094157:0004:HT
O81001	Q9ZU25	GRF1	MPPALPHA1	T20K9.5	F5F19.4	LOCUS:2059206	LOCUS:2034096	21094157:0004:HT
O81001	Q9ZUU9	GRF1	ABCG3	T20K9.5	F24D13.14	LOCUS:2059206	LOCUS:2046203	21094157:0004:HT
O81108	Q9SU44	ACA2	GRF8	F19F18.130	T19F6.5	LOCUS:2120096	LOCUS:2134986	21094157:0004:HT
O81127	Q9CAG1	RSZ21	Q9CAG1	T23E23.2	F12B7.13|F12B7_13	LOCUS:2199837	LOCUS:2008595	20706207:0004:HT|20706207:0676:HT
O81270	Q24JJ9	PXG1	NUP43	F10M23.80	F6I18.250	LOCUS:2116427	LOCUS:2126689	21189294:0004:HT
O81493	Q9LK09	F9D12.8	SYP32	T19G15.110|T19G15_110	K7M2.13	LOCUS:2179744		24556609:0004:HT|24556609:0007:HT
O81645	Q9SJR5	VLN3	GRF3	F28O9.260|T8H10.10	F1O11.3	LOCUS:2082523	LOCUS:2044873	21094157:0004:HT
O81796	Q9SU44	IDH3	GRF8	F8D20.160	T19F6.5	LOCUS:2127993	LOCUS:2134986	21094157:0004:HT
O82189	Q24JJ9	RDR4	NUP43	F6F22.5	F6I18.250	LOCUS:2052030	LOCUS:2126689	21189294:0004:HT
O82191	Q9C829	NADP-ME1	NUP50A	F6F22.7	F19K6.4	LOCUS:2052045	LOCUS:2018204	21189294:0004:HT
O82204	Q9SVC2	RPL28A	SYP122	F6F22.24	F22O6_220	LOCUS:2052010	LOCUS:2079894	24556609:0004:HT|24556609:0007:HT
O82204	Q9ZQZ8	RPL28A	SYP123	F6F22.24	F4C21.26	LOCUS:2052010	LOCUS:2125487	24556609:0004:HT|24556609:0007:HT
O82204	Q9ZSD4	RPL28A	SYP121	F6F22.24	F26K24.11	LOCUS:2052010	LOCUS:2081476	24556609:0004:HT|24556609:0007:HT
O82222	P93654	O82222	SYP22	T29E15.14|T29E15_14	MSD23.9	LOCUS:2061451	LOCUS:3356150	24556609:0004:HT|24556609:0007:HT
O82222	Q39233	O82222	SYP21	T29E15.14|T29E15_14	F5E19_170	LOCUS:2061451	LOCUS:2148960	24556609:0004:HT|24556609:0007:HT
O82222	Q8VZU2	O82222	SYP132	T29E15.14|T29E15_14	T22D6.20	LOCUS:2061451		24556609:0004:HT|24556609:0007:HT
O82222	Q9SUJ1	O82222	SYP43	T29E15.14|T29E15_14	F18C1.2	LOCUS:2061451	LOCUS:2078042	24556609:0004:HT|24556609:0007:HT
O82222	Q9SVC2	O82222	SYP122	T29E15.14|T29E15_14	F22O6_220	LOCUS:2061451	LOCUS:2079894	24556609:0004:HT|24556609:0007:HT
O82222	Q9ZQZ8	O82222	SYP123	T29E15.14|T29E15_14	F4C21.26	LOCUS:2061451	LOCUS:2125487	24556609:0004:HT|24556609:0007:HT
O82222	Q9ZSD4	O82222	SYP121	T29E15.14|T29E15_14	F26K24.11	LOCUS:2061451	LOCUS:2081476	24556609:0004:HT|24556609:0007:HT
O82234	Q38942	IF3-2	RAE1		F23A5.2	LOCUS:2061380	LOCUS:2025732	21189294:0004:HT
O82264	Q24JJ9	O82264	NUP43	T9J23.1	F6I18.250	LOCUS:2043443	LOCUS:2126689	21189294:0004:HT
O82387	P59259	CDC6	P59259		F24B9.25|F24B9.8|F8N16.2|T11P11.4|F16L2_140|F18L15.40|F5K20_30|MTH12.10|MMN10.22	LOCUS:2060659	LOCUS:2026565|LOCUS:2026570|LOCUS:2053195|LOCUS:2077127|LOCUS:2078166|LOCUS:2084380|LOCUS:2168037|LOCUS:2174314	20706207:0004:HT|20706207:0676:HT
O82387	Q8L5Y6	CDC6	CAND1		T8K22.14	LOCUS:2060659	LOCUS:2065279	20706207:0676:HT
O82387	Q9M0I4	CDC6	Q9M0I4		F26K10.110|F26K10_110	LOCUS:2060659	LOCUS:2123723	20706207:0004:HT|20706207:0676:HT
O82387	Q9SKA8	CDC6	Q9SKA8		F20M17.4|F20M17_4	LOCUS:2060659	LOCUS:2045278	20706207:0004:HT|20706207:0676:HT
O82399	Q24JJ9	PMDH1	NUP43	T30L20.4	F6I18.250	LOCUS:2062240	LOCUS:2126689	21189294:0004:HT
O82399	Q38942	PMDH1	RAE1	T30L20.4	F23A5.2	LOCUS:2062240	LOCUS:2025732	21189294:0004:HT
O82484	Q9SJR5	O82484	GRF3	T12H20.8	F1O11.3	LOCUS:2132741	LOCUS:2044873	21094157:0004:HT
O82491	Q9SJR5	SPT16	GRF3	T12H20.3	F1O11.3	LOCUS:2132756	LOCUS:2044873	21094157:0004:HT
O82491	Q9SU44	SPT16	GRF8	T12H20.3	T19F6.5	LOCUS:2132756	LOCUS:2134986	21094157:0004:HT
O82653	Q38942	ERG	RAE1	F17F8.15	F23A5.2	LOCUS:2015771	LOCUS:2025732	21189294:0004:HT
O82663	Q9SJR5	SDH1-1	GRF3	MSN2.16	F1O11.3	LOCUS:2173654	LOCUS:2044873	21094157:0004:HT
O82663	Q9SU44	SDH1-1	GRF8	MSN2.16	T19F6.5	LOCUS:2173654	LOCUS:2134986	21094157:0004:HT
O82782	Q9LU93	HISN3	MAD2	F2H17.16	MPE11.15	LOCUS:2049470	LOCUS:2092125	20706207:0676:HT
P0CJ46	Q9LK09	ACT1	SYP32	F13M22.12	K7M2.13	LOCUS:2040656		24556609:0004:HT|24556609:0007:HT
P0CJ48	Q24JJ9	LHCB1.1	NUP43	F1N18.4	F6I18.250	LOCUS:2019372	LOCUS:2126689	21189294:0004:HT
P0CJ48	Q38942	LHCB1.1	RAE1	F1N18.4	F23A5.2	LOCUS:2019372	LOCUS:2025732	21189294:0004:HT
P0DH99	Q24JJ9	A1	NUP43	T6D22.3	F6I18.250	LOCUS:2205115	LOCUS:2126689	21189294:0004:HT
P0DH99	Q38942	A1	RAE1	T6D22.3	F23A5.2	LOCUS:2205115	LOCUS:2025732	21189294:0004:HT
P0DH99	Q9C829	A1	NUP50A	T6D22.3	F19K6.4	LOCUS:2205115	LOCUS:2018204	21189294:0004:HT
P0DH99	Q9CAF4	A1	NUP1	T6D22.3	F13M14.6|F18K10.27	LOCUS:2205115	LOCUS:2075785	21189294:0004:HT
P0DKC6	Q24JJ9	HSD1	NUP43	MFB16.9	F6I18.250		LOCUS:2126689	21189294:0004:HT
P10796	Q38942	RBCS-1B	RAE1	MXI10.15	F23A5.2	LOCUS:2177406	LOCUS:2025732	21189294:0004:HT
P14713	Q9SU44	PHYB	GRF8	MSF3.17	T19F6.5	LOCUS:2005515	LOCUS:2134986	21094157:0004:HT
P15455	Q24JJ9	CRA1	NUP43	MLN1.4	F6I18.250	LOCUS:2167654	LOCUS:2126689	21189294:0004:HT
P16180	Q9CAF4	RPS17	NUP1	F19K16.19	F13M14.6|F18K10.27	LOCUS:2017849	LOCUS:2075785	21189294:0004:HT
P16181	Q42374	RPS11A	KN	T2J13.230	F22O13.4	LOCUS:2101278	LOCUS:2025620	24556609:0004:HT|24556609:0007:HT
P16181	Q8VZU2	RPS11A	SYP132	T2J13.230	T22D6.20	LOCUS:2101278		24556609:0004:HT|24556609:0007:HT
P16181	Q9FFK1	RPS11A	SYP31	T2J13.230	MJJ3.17	LOCUS:2101278	LOCUS:2166419	24556609:0004:HT|24556609:0007:HT
P16181	Q9SWH4	RPS11A	SYP42	T2J13.230	T10M13.19|T2H3.1	LOCUS:2101278	LOCUS:505006427	24556609:0004:HT|24556609:0007:HT
P17094	P93654	ARP1	SYP22	F1I21.1	MSD23.9	LOCUS:2018605	LOCUS:3356150	24556609:0007:HT
P17094	Q38942	ARP1	RAE1	F1I21.1	F23A5.2	LOCUS:2018605	LOCUS:2025732	21189294:0004:HT
P17094	Q42374	ARP1	KN	F1I21.1	F22O13.4	LOCUS:2018605	LOCUS:2025620	24556609:0007:HT
P17094	Q8VZU2	ARP1	SYP132	F1I21.1	T22D6.20	LOCUS:2018605		24556609:0007:HT
P17094	Q9FFK1	ARP1	SYP31	F1I21.1	MJJ3.17	LOCUS:2018605	LOCUS:2166419	24556609:0007:HT
P17094	Q9LK09	ARP1	SYP32	F1I21.1	K7M2.13	LOCUS:2018605		24556609:0007:HT
P17094	Q9SUJ1	ARP1	SYP43	F1I21.1	F18C1.2	LOCUS:2018605	LOCUS:2078042	24556609:0007:HT
P17094	Q9SWH4	ARP1	SYP42	F1I21.1	T10M13.19|T2H3.1	LOCUS:2018605	LOCUS:505006427	24556609:0007:HT
P17562	Q9SJR5	SAM2	GRF3	T7B11.11	F1O11.3	LOCUS:2141385	LOCUS:2044873	21094157:0004:HT
P17562	Q9SU44	SAM2	GRF8	T7B11.11	T19F6.5	LOCUS:2141385	LOCUS:2134986	21094157:0004:HT
P17745	Q24JJ9	TUFA	NUP43	F9F13.10	F6I18.250	LOCUS:2128615	LOCUS:2126689	21189294:0004:HT
P17745	Q38942	TUFA	RAE1	F9F13.10	F23A5.2	LOCUS:2128615	LOCUS:2025732	21189294:0004:HT
P17745	Q9C829	TUFA	NUP50A	F9F13.10	F19K6.4	LOCUS:2128615	LOCUS:2018204	21189294:0004:HT
P17745	Q9CAF4	TUFA	NUP1	F9F13.10	F13M14.6|F18K10.27	LOCUS:2128615	LOCUS:2075785	21189294:0004:HT
P19456	Q8VZU2	AHA2	SYP132	F9N11.40	T22D6.20			24556609:0004:HT|24556609:0007:HT
P19456	Q9SJR5	AHA2	GRF3	F9N11.40	F1O11.3		LOCUS:2044873	21094157:0004:HT
P20115	Q39067	CSY4	CYCB1-2	F4I1.16	MBL20.2	LOCUS:2050554	LOCUS:2160722	20706207:0004:HT|20706207:0676:HT
P21218	Q24JJ9	PORB	NUP43	F27G19.40	F6I18.250	LOCUS:2124044	LOCUS:2126689	21189294:0004:HT
P21238	Q38942	CPN60A1	RAE1	T1E2.8	F23A5.2	LOCUS:2057841	LOCUS:2025732	21189294:0004:HT
P21240	Q24JJ9	CPN60B1	NUP43	T5A14.11	F6I18.250	LOCUS:2193839	LOCUS:2126689	21189294:0004:HT
P21240	Q38942	CPN60B1	RAE1	T5A14.11	F23A5.2	LOCUS:2193839	LOCUS:2025732	21189294:0004:HT
P22738	Q9LK09	ARP2	SYP32	T25B24.7	K7M2.13	LOCUS:2200873		24556609:0004:HT|24556609:0007:HT
P22953	Q24JJ9	HSP70-1	NUP43	T22P11.90	F6I18.250	LOCUS:2181833	LOCUS:2126689	21189294:0004:HT
P22953	Q38942	HSP70-1	RAE1	T22P11.90	F23A5.2	LOCUS:2181833	LOCUS:2025732	21189294:0004:HT
P22953	Q9C829	HSP70-1	NUP50A	T22P11.90	F19K6.4	LOCUS:2181833	LOCUS:2018204	21189294:0004:HT
P22953	Q9SJR5	HSP70-1	GRF3	T22P11.90	F1O11.3	LOCUS:2181833	LOCUS:2044873	21094157:0004:HT
P22953	Q9SU44	HSP70-1	GRF8	T22P11.90	T19F6.5	LOCUS:2181833	LOCUS:2134986	21094157:0004:HT
P22954	Q38942	HSP70-2	RAE1	T22P11.80	F23A5.2	LOCUS:2181818	LOCUS:2025732	21189294:0004:HT
P22954	Q9C829	HSP70-2	NUP50A	T22P11.80	F19K6.4	LOCUS:2181818	LOCUS:2018204	21189294:0004:HT
P23686	Q9SJR5	SAM1	GRF3	T14P4.17|T14P4_22	F1O11.3	LOCUS:2196160	LOCUS:2044873	21094157:0004:HT
P23686	Q9SU44	SAM1	GRF8	T14P4.17|T14P4_22	T19F6.5	LOCUS:2196160	LOCUS:2134986	21094157:0004:HT
P24100	P42752	CDKA-1	CYCD2-1	T21J18.20	F14M13.11	LOCUS:2099478		20706207:0676:HT|20706207:0004:HT
P24100	P42753	CDKA-1	CYCD3-1	T21J18.20	F28A23.80	LOCUS:2099478	LOCUS:2124331	20706207:0004:HT|20706207:0676:HT
P24100	Q0WNX9	CDKA-1	KRP6	T21J18.20	MVI11.5	LOCUS:2099478	LOCUS:2094118	20706207:0676:HT|20706207:0004:HT
P24100	Q0WQN9	CDKA-1	CYCD4-2	T21J18.20	F12B17.210	LOCUS:2099478	LOCUS:2142504	20706207:0676:HT|20706207:0004:HT
P24100	Q1JPP8	CDKA-1	SMR4	T21J18.20	T7H20.270	LOCUS:2099478	LOCUS:2185213	20706207:0004:HT|20706207:0676:HT
P24100	Q29Q81	CDKA-1	SMR6	T21J18.20	K21I16.3	LOCUS:2099478	LOCUS:2155657	20706207:0004:HT|20706207:0676:HT
P24100	Q2V3B2	CDKA-1	CYCD5-1	T21J18.20	F19F18.120	LOCUS:2099478	LOCUS:2120081	20706207:0004:HT|20706207:0676:HT
P24100	Q3ECW2	CDKA-1	CYCA3-4	T21J18.20	F8G22.5	LOCUS:2099478	LOCUS:2036756	20706207:0004:HT|20706207:0676:HT
P24100	Q41969	CDKA-1	EIF2B	T21J18.20	F22D1.90	LOCUS:2099478	LOCUS:2147162	20706207:0004:HT|20706207:0676:HT
P24100	Q67Y93	CDKA-1	KRP1	T21J18.20	F26B6.8	LOCUS:2099478	LOCUS:2046778	20706207:0676:HT|20706207:0004:HT
P24100	Q84VX7	CDKA-1	Q84VX7	T21J18.20	F5D21.24|F5D21_24	LOCUS:2099478	LOCUS:2033944	20706207:0004:HT|20706207:0676:HT
P24100	Q8GXS3	CDKA-1	CFIS2	T21J18.20	M7J2.80	LOCUS:2099478	LOCUS:2131839	20706207:0004:HT|20706207:0676:HT
P24100	Q8GYJ3	CDKA-1	KRP4	T21J18.20	F24L7.15	LOCUS:2099478	LOCUS:2046427	20706207:0676:HT|20706207:0004:HT
P24100	Q8LGA1	CDKA-1	CYCD4-1	T21J18.20	MNA5.15	LOCUS:2099478		20706207:0676:HT|20706207:0004:HT
P24100	Q8VYI4	CDKA-1	Q8VYI4	T21J18.20	F10B6.22|F10B6_22	LOCUS:2099478	LOCUS:2006867	20706207:0004:HT|20706207:0676:HT
P24100	Q8W4L5	CDKA-1	VAL1	T21J18.20	T6B20.17	LOCUS:2099478	LOCUS:2064417	20706207:0004:HT|20706207:0676:HT
P24100	Q93Y35	CDKA-1	RPN7	T21J18.20	F6I7.30	LOCUS:2099478	LOCUS:2126798	20706207:0004:HT|20706207:0676:HT
P24100	Q94CL9	CDKA-1	KRP7	T21J18.20	F14J22.14	LOCUS:2099478	LOCUS:2012186	20706207:0004:HT|20706207:0676:HT
P24100	Q9FGQ7	CDKA-1	CYCD3-2	T21J18.20	K3G17.2	LOCUS:2099478	LOCUS:2157172	20706207:0004:HT|20706207:0676:HT
P24100	Q9FKB5	CDKA-1	KRP3	T21J18.20	K24G6.15	LOCUS:2099478		20706207:0004:HT|20706207:0676:HT
P24100	Q9FMF5	CDKA-1	RPT3	T21J18.20	MSJ1.17	LOCUS:2099478	LOCUS:2173418	20706207:0004:HT|20706207:0676:HT
P24100	Q9FMH5	CDKA-1	CYCA3-1	T21J18.20	MMG4.10	LOCUS:2099478	LOCUS:2167761	20706207:0004:HT|20706207:0676:HT
P24100	Q9FPJ8	CDKA-1	RBP45A	T21J18.20	MBG8.17	LOCUS:2099478	LOCUS:2160210	20706207:0004:HT|20706207:0676:HT
P24100	Q9FZE1	CDKA-1	UGD1	T21J18.20	T1K7.6	LOCUS:2099478	LOCUS:2197945	20706207:0004:HT|20706207:0676:HT
P24100	Q9LIA8	CDKA-1	UGD2	T21J18.20	MUO10.18|MUO10_6	LOCUS:2099478	LOCUS:2093827	20706207:0004:HT|20706207:0676:HT
P24100	Q9LMX4	CDKA-1	PAP1	T21J18.20	F21F23.18	LOCUS:2099478	LOCUS:2023870	20706207:0004:HT|20706207:0676:HT
P24100	Q9LNX4	CDKA-1	SMR5	T21J18.20	F22G5.11	LOCUS:2099478	LOCUS:2024957	20706207:0004:HT|20706207:0676:HT
P24100	Q9LPZ3	CDKA-1	Q9LPZ3	T21J18.20	T23J18.8	LOCUS:2099478	LOCUS:2200136	20706207:0004:HT|20706207:0676:HT
P24100	Q9LRY0	CDKA-1	KRP5	T21J18.20	K7P8.10	LOCUS:2099478	LOCUS:2087248	20706207:0004:HT|20706207:0676:HT
P24100	Q9LSP5	CDKA-1	Q9LSP5	T21J18.20		LOCUS:2099478	LOCUS:2086102	20706207:0004:HT|20706207:0676:HT|20706207:0090:HT
P24100	Q9LZ60	CDKA-1	SMR3	T21J18.20	T22P11.10	LOCUS:2099478	LOCUS:2181728	20706207:0004:HT|20706207:0676:HT
